GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABR,HOME_TEAM_PTS,VISITOR_TEAM_ID,VISITOR_TEAM_ABR,VISITOR_TEAM_PTS
0022200001,10/18/2022,1610612738,BOS,126,1610612755,PHI,117
0022200002,10/18/2022,1610612744,GSW,123,1610612747,LAL,109
0022200003,10/19/2022,1610612765,DET,113,1610612753,ORL,109
0022200004,10/19/2022,1610612754,IND,107,1610612764,WAS,114
0022200005,10/19/2022,1610612737,ATL,117,1610612745,HOU,107
0022200006,10/19/2022,1610612751,BKN,108,1610612740,NOP,130
0022200007,10/19/2022,1610612748,MIA,108,1610612741,CHI,116
0022200008,10/19/2022,1610612761,TOR,108,1610612739,CLE,105
0022200009,10/19/2022,1610612763,MEM,115,1610612752,NYK,112
0022200010,10/19/2022,1610612750,MIN,115,1610612760,OKC,108
0022200011,10/19/2022,1610612759,SAS,102,1610612766,CHA,129
0022200012,10/19/2022,1610612762,UTA,123,1610612743,DEN,102
0022200013,10/19/2022,1610612756,PHX,107,1610612742,DAL,105
0022200014,10/19/2022,1610612758,SAC,108,1610612757,POR,115
0022200015,10/20/2022,1610612755,PHI,88,1610612749,MIL,90
0022200016,10/20/2022,1610612747,LAL,97,1610612746,LAC,103
0022200017,10/21/2022,1610612766,CHA,112,1610612740,NOP,124
0022200018,10/21/2022,1610612754,IND,134,1610612759,SAS,137
0022200019,10/21/2022,1610612764,WAS,102,1610612741,CHI,100
0022200020,10/21/2022,1610612737,ATL,108,1610612753,ORL,98
0022200021,10/21/2022,1610612751,BKN,109,1610612761,TOR,105
0022200022,10/21/2022,1610612748,MIA,104,1610612738,BOS,111
0022200023,10/21/2022,1610612752,NYK,130,1610612765,DET,106
0022200024,10/21/2022,1610612745,HOU,122,1610612763,MEM,129
0022200025,10/21/2022,1610612750,MIN,126,1610612762,UTA,132
0022200026,10/21/2022,1610612744,GSW,123,1610612743,DEN,128
0022200027,10/21/2022,1610612757,POR,113,1610612756,PHX,111
0022200028,10/22/2022,1610612755,PHI,105,1610612759,SAS,114
0022200029,10/22/2022,1610612754,IND,124,1610612765,DET,115
0022200030,10/22/2022,1610612753,ORL,120,1610612738,BOS,126
0022200031,10/22/2022,1610612748,MIA,112,1610612761,TOR,109
0022200032,10/22/2022,1610612741,CHI,96,1610612739,CLE,128
0022200033,10/22/2022,1610612749,MIL,125,1610612745,HOU,105
0022200034,10/22/2022,1610612742,DAL,137,1610612763,MEM,96
0022200035,10/22/2022,1610612743,DEN,122,1610612760,OKC,117
0022200036,10/22/2022,1610612758,SAC,109,1610612746,LAC,111
0022200037,10/23/2022,1610612747,LAL,104,1610612757,POR,106
0022200038,10/23/2022,1610612737,ATL,109,1610612766,CHA,126
0022200039,10/23/2022,1610612739,CLE,117,1610612764,WAS,107
0022200040,10/23/2022,1610612740,NOP,121,1610612762,UTA,122
0022200041,10/23/2022,1610612760,OKC,106,1610612750,MIN,116
0022200042,10/23/2022,1610612744,GSW,130,1610612758,SAC,125
0022200043,10/23/2022,1610612746,LAC,95,1610612756,PHX,112
0022200044,10/24/2022,1610612755,PHI,120,1610612754,IND,106
